TimeStamp,HumanReadableTime,Heading
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,191.640732
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,192.705444
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,194.534393
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,195.678192
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,197.078476
2016-05-09 22:11:17 +0000,2016-05-09 22:11:17 +0000,198.591003
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,200.174438
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,201.545410
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,202.905014
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,200.919220
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,199.103775
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,196.584259
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,195.378937
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,193.867065
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,192.442322
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,191.273071
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,193.049728
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,191.914032
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,189.730606
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,191.045258
2016-05-09 22:11:18 +0000,2016-05-09 22:11:18 +0000,192.740967
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,191.408951
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,192.663712
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,191.332962
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,188.809723
